GeneID	GSM2440320	GSM2440321	GSM2440322	GSM2440323	GSM2440324	GSM2440325	GSM2440326	GSM2440327	GSM2440328	GSM2440329	GSM2440330	GSM2440331
107984396	0	3	1	3	4	2	5	7	46	2	6	2
338657	4562	1559	2195	6897	3810	2374	3686	3511	4494	2959	2553	1569
649946	2	7	0	1	4	1	1	0	7	4	4	0
6230	30217	26862	23838	26716	22259	23601	13344	59894	89988	40041	10258	9878
51399	727	1014	306	349	861	894	340	746	1851	838	57	210
2542	2697	3033	898	1647	3127	300	2599	1284	3309	1669	537	496
10525	4981	3154	1343	2239	5959	1391	3034	2650	7548	4858	358	1027
55823	1193	1495	570	1040	1978	1725	1077	827	1673	1141	115	277
3145	1661	2168	738	1852	2048	536	1275	1796	3327	2780	579	726
3014	3755	3083	1438	4223	3214	428	4195	2651	5306	4102	1464	1310
1798	599	1029	257	336	1111	417	150	288	880	297	61	85
107984397	11	9	3	5	16	4	4	10	12	6	2	3
9854	1304	880	428	1179	1418	465	781	969	1558	1094	613	462
25988	595	667	454	666	1202	619	545	539	1214	576	128	217
64137	2	6	2	9	10	15	1	8	7	1	1	1
79671	320	415	291	316	811	1058	203	510	802	625	195	241
79849	401	975	235	1279	1424	8	987	166	167	122	454	459
283152	131	216	112	490	413	31	325	146	211	84	162	266
109623467	2	0	3	3	4	0	3	3	5	1	0	2
867	102	231	81	70	227	180	44	46	210	74	2	12
4162	1088	2353	428	955	3588	11702	197	1454	4775	901	176	356
102465453	0	1	1	1	3	2	1	0	1	0	0	0
79102	1209	1381	515	982	1711	1345	751	1443	2713	1724	660	595
114902	301	505	137	328	1637	287	67	467	471	118	386	204
83552	301	505	137	328	1637	287	67	467	471	118	386	204
9099	48	18	19	98	97	86	9	52	86	12	11	26
100499227	15	17	20	74	41	13	15	67	74	13	20	4
7070	3164	3443	1558	3312	12611	2659	1115	1992	6396	1653	1786	955
107984398	2	1	2	3	4	0	0	2	27	1	1	3
105369520	0	0	0	3	0	0	0	1	9	2	0	0
5818	3395	3570	1453	2555	841	190	1328	3849	8539	4739	1290	824
105369525	2	12	2	2	0	0	2	3	9	7	9	3
102724301	47	72	17	36	7	2	25	49	173	94	9	14
105369526	76	283	40	713	30	2	109	146	1523	1738	37	285
105369528	0	0	0	0	0	0	0	0	0	0	0	0
105369527	0	0	0	0	0	0	0	1	0	0	0	0
105378956	0	0	0	0	0	0	0	0	1	0	0	0
23650	1055	218	1609	709	6161	32	34	1201	6872	1383	3810	2391
105369529	3	4	0	0	12	1	0	4	5	2	2	1
107984399	2	1	4	5	6	0	3	8	11	4	1	7
105369530	0	0	0	0	0	0	0	0	0	0	0	0
220323	3963	2927	1487	3566	2847	1284	2833	2803	8390	2254	843	779
25833	7	10	19	56	79	1	17	78	49	56	57	117
649133	0	0	1	0	0	0	0	0	0	0	1	1
105369531	0	0	0	0	3	0	0	3	1	3	11	9
219902	27	18	14	36	133	144	19	30	90	15	0	12
23365	231	291	156	242	601	483	124	182	457	243	114	125
2900	7	6	2	6	21	7	2	9	6	16	0	3
107984400	1	0	1	2	0	0	0	0	0	0	0	0
105369532	0	6	2	1	30	0	0	23	8	18	0	0
101929227	0	1	0	0	0	0	0	0	1	0	0	0
101929208	0	0	0	0	0	0	0	0	0	0	0	0
219899	13	24	19	10	41	58	12	12	34	3	4	1
7007	7	8	2	1	2	24	0	3	2	0	0	0
105369533	0	0	0	0	0	0	0	0	0	0	0	0
105369534	0	0	0	0	2	0	0	0	2	0	0	0
6309	49	86	54	32	61	29	16	46	81	45	7	11
105369536	1	5	2	14	13	1	3	2	6	9	4	4
6653	554	795	294	477	654	209	399	236	812	554	40	114
105369535	1	8	6	10	6	1	3	3	2	5	10	11
107984402	0	2	0	0	0	1	0	0	0	0	0	0
399959	6	1	3	9	23	235	5	1	1	1	4	6
406911	0	0	0	0	0	0	0	0	0	0	0	0
414899	0	0	0	1	0	0	0	0	0	0	0	0
406882	0	0	0	0	0	0	0	0	0	0	0	0
113218492	0	0	0	0	0	0	0	0	0	0	0	0
406892	0	0	0	0	0	0	0	0	0	0	0	0
100189294	0	0	0	0	0	0	0	0	0	0	0	0
84959	16	17	17	8	44	33	2	5	17	12	3	4
56253	4	1	2	0	1	5	1	3	1	7	0	6
79864	9	28	29	41	117	42	3	24	7	33	4	6
390259	0	0	0	0	0	0	0	0	0	0	0	0
341056	1	2	1	1	1	3	0	2	6	1	0	1
3312	2821	3616	5451	1455	3340	10277	848	19118	29557	4629	2720	2248
85391	5	3	5	2	1	0	1	1	5	2	0	0
85390	2	2	2	3	2	0	1	2	2	1	0	0
85389	1	2	1	1	1	0	0	0	1	1	1	0
101929289	266	53	62	341	281	93	315	49	184	185	124	67
79827	20	20	20	25	228	1226	14	18	10	14	2	6
105369540	0	0	0	0	0	1	0	0	0	0	0	0
105369539	0	0	0	0	0	1	0	0	0	0	0	0
105369541	0	0	0	0	0	0	0	0	0	0	0	0
57476	142	527	8	55	230	85	28	40	48	40	50	37
100616319	0	0	0	0	0	0	0	0	0	0	0	0
55800	9	2	3	7	17	40	5	4	10	2	4	1
105369543	0	0	0	2	1	0	0	2	0	1	0	0
7753	319	508	219	154	572	243	274	164	450	186	24	45
390260	0	0	0	0	0	0	0	0	0	0	0	0
105369544	0	0	0	0	0	0	0	0	0	0	0	0
390261	0	0	0	0	0	0	0	0	0	0	0	0
338661	0	0	2	0	0	0	1	2	0	0	0	0
338662	0	0	0	0	0	0	0	0	0	0	0	0
219875	0	0	0	0	0	0	0	0	0	0	0	0
219874	1	0	0	0	0	0	0	0	0	0	0	0
219873	0	0	0	0	0	0	0	0	0	0	0	0
79490	0	0	0	0	0	0	0	0	0	0	0	0
390264	0	0	0	0	0	0	0	0	0	0	0	0
219870	0	0	0	0	0	0	0	0	0	0	0	0
219869	0	0	0	0	0	0	0	0	0	0	0	0
390265	0	0	0	0	0	0	0	0	0	0	0	0
107984403	1	1	0	0	0	4	0	0	1	0	1	0
105369545	0	0	0	0	0	0	0	1	0	0	0	0
4013	349	850	385	89	260	638	38	597	682	1102	85	277
26497	0	0	0	0	0	0	0	0	0	0	0	0
102724410	2	0	0	1	0	0	0	0	1	0	0	0
26492	0	0	0	0	0	0	0	0	0	0	0	0
112267863	0	0	0	0	0	0	0	0	0	0	0	0
26494	0	0	0	0	0	0	0	0	0	0	0	0
219865	0	0	0	0	0	0	0	0	0	0	0	0
283159	0	0	0	0	0	0	0	0	0	0	0	0
112268069	0	0	0	0	0	0	0	0	0	0	0	0
283160	0	0	0	0	0	0	0	0	0	0	0	0
26595	0	0	0	0	0	0	0	0	0	0	0	0
390271	0	0	0	1	0	0	0	0	0	0	0	0
107984404	0	0	0	0	0	0	0	0	0	0	0	0
283162	0	0	0	0	0	0	0	0	0	0	0	0
26493	0	0	0	0	0	0	0	0	0	0	0	0
219858	0	0	0	0	0	0	0	0	0	0	0	0
390275	1	0	0	0	0	0	0	0	0	0	0	0
116337	0	0	0	0	0	0	0	0	0	0	0	0
84897	1042	835	440	1531	1198	729	917	581	851	813	148	250
54414	1220	1060	926	747	929	383	1223	754	2451	2681	107	394
53340	55	49	33	36	69	49	44	92	92	146	24	20
107984405	0	2	0	0	1	0	0	1	1	0	0	0
4900	116	48	77	281	141	74	246	172	407	200	313	117
23584	126	7	566	4239	2280	34	130	1919	600	8442	98	1916
90952	406	318	117	431	614	803	166	409	1362	199	105	186
101929340	11	6	9	30	20	4	16	4	36	22	9	4
79684	131	257	81	149	348	130	112	55	128	83	55	59
100507283	1	7	0	5	7	3	3	1	3	1	0	2
64221	213	88	166	184	322	849	644	332	431	59	91	110
54538	266	256	87	329	572	530	135	382	1035	152	266	177
107984406	2	0	0	5	0	1	0	0	1	1	3	0
220296	4	0	0	0	1	18	1	0	0	1	0	0
641654	3	0	0	0	0	11	1	0	0	1	0	0
105369547	1	2	1	0	1	2	3	0	1	0	0	1
80071	3	5	4	4	0	3	2	2	4	2	6	0
219855	95	104	37	133	122	98	89	54	59	33	34	53
219854	39	77	58	17	106	145	28	40	81	70	10	13
103695364	0	0	0	0	0	0	0	0	0	0	0	0
63876	29	13	2	20	26	155	10	9	1	4	1	0
105369549	0	0	0	1	0	0	0	1	0	0	0	0
9638	101	114	30	80	363	2065	19	111	101	77	44	80
403312	0	0	0	1	0	6	2	1	0	0	1	0
105369550	1	1	1	2	1	1	0	0	2	1	0	1
9538	849	1256	717	1108	1509	1638	571	2402	2924	2981	4035	1065
3703	2402	3126	447	799	1743	878	527	1150	2291	1088	97	234
1111	413	308	119	429	370	156	397	426	687	337	287	180
56	7	3	6	5	7	1	3	7	19	4	1	1
105369551	1	2	0	0	0	1	3	1	5	4	0	0
160065	0	0	0	0	0	0	0	1	0	0	0	0
399967	0	1	0	0	0	0	0	0	0	0	0	0
100169851	0	0	0	0	0	0	0	0	0	0	0	0
105369552	0	0	0	0	0	0	0	0	0	0	0	0
399968	0	0	0	0	0	0	0	0	0	0	0	0
219844	56	85	39	23	83	100	17	22	40	39	2	4
83480	102	161	38	69	99	137	42	98	146	58	11	9
29118	1	0	0	0	0	6	0	0	0	1	0	0
338667	0	0	0	0	2	5	0	7	0	5	0	0
50937	14	13	7	49	83	844	44	20	38	36	0	11
107984407	0	0	0	0	0	1	0	0	0	0	0	0
105369591	0	0	0	0	0	4	0	0	0	0	0	0
84881	536	618	448	368	941	483	330	618	1196	481	27	76
79607	1519	1583	596	984	2080	1010	653	1313	2384	1702	65	393
6734	1512	1777	581	797	2546	1419	639	1002	2504	1358	34	208
55572	1808	1669	1273	2646	2650	832	2344	1763	5010	2618	806	876
114609	90	156	75	88	222	176	61	89	198	91	12	34
105369557	82	76	43	69	87	58	44	66	113	80	57	47
28960	1039	734	374	485	1444	601	442	1250	1364	1691	200	347
399972	11	11	5	53	84	68	2	53	12	95	2	7
6484	313	161	444	3008	2523	1044	99	1092	274	11941	67	562
84623	5	1	2	14	100	210	0	16	7	41	0	5
101929427	0	0	0	1	2	0	0	1	0	0	0	0
105369561	1	0	0	0	0	0	0	0	0	0	0	0
105369559	2	0	0	2	0	0	0	0	0	0	0	0
100874251	0	0	0	4	0	0	0	0	0	0	0	0
100422918	0	0	0	0	0	0	0	0	0	0	0	0
105369558	0	0	0	0	0	0	0	0	0	0	0	0
283165	0	0	0	0	0	1	0	0	0	0	0	0
101929473	0	0	0	0	0	0	0	0	0	0	0	0
105369562	0	0	0	0	0	0	0	0	0	0	0	0
107984379	0	0	0	0	0	0	0	0	0	0	0	0
101929497	0	0	2	2	0	0	0	0	0	0	1	0
107984373	1	0	0	0	0	0	0	1	0	0	0	0
107984374	0	0	0	0	0	0	0	0	0	0	0	0
105369563	1	0	0	0	0	0	0	0	0	0	0	0
105369564	0	0	0	0	0	0	0	0	0	0	0	0
107984408	0	0	1	0	0	0	0	2	0	2	0	0
2113	117	193	46	95	288	184	37	88	118	146	10	26
102466104	0	0	0	0	0	0	0	0	0	0	0	0
101929517	0	0	0	0	0	0	0	0	0	0	0	0
105369565	1	1	0	2	2	0	0	1	2	0	0	0
105369568	1	5	2	5	9	0	2	3	9	2	3	1
101929538	0	0	0	0	0	0	0	0	0	0	0	0
2313	23	41	9	13	57	89	5	14	23	5	1	5
100507392	3	3	0	2	7	13	1	5	3	1	1	5
3758	1	2	0	0	0	1	0	0	2	0	0	0
107984409	0	0	1	1	0	0	0	0	0	1	1	0
3762	12	2	9	40	10	84	11	7	27	7	2	11
219833	14	17	9	7	26	15	2	9	18	14	1	3
63970	5	4	8	12	28	4	2	28	68	21	2	11
9743	593	818	432	1452	2048	117	532	534	1397	871	99	411
399975	10	1	4	4	16	0	0	6	7	2	0	1
105369571	3	0	1	0	1	0	0	1	3	2	0	1
105369572	1	3	3	3	5	0	0	3	3	1	0	1
8538	31	160	43	8	179	3	4	82	382	332	1	79
107984410	0	0	0	0	5	0	0	0	1	4	1	1
101929557	1	0	0	0	2	0	0	0	0	1	0	0
120224	904	1226	304	556	2667	6	448	1367	3652	1032	297	529
4798	925	811	672	874	1485	783	1237	751	1695	795	597	294
56980	29	42	17	37	86	32	11	18	16	21	12	7
440072	1	2	1	3	15	5	4	4	6	2	0	3
107984432	14	13	0	14	20	8	14	6	18	7	4	0
334	5487	6932	2089	3540	6263	7239	2385	2890	13557	5977	411	1401
6768	21293	26260	12695	26859	18747	166	18530	18882	64367	29239	13543	13912
29068	60	198	78	48	256	151	68	66	199	94	104	23
646383	2	3	7	3	17	4	6	1	14	5	4	2
11095	5	60	6	2	40	902	3	59	34	27	13	8
170689	776	374	1915	21	48	129	181	219	3361	6	44	186
105369574	4	0	14	0	4	4	0	2	18	1	1	3
102466873	0	0	0	0	0	0	0	0	0	0	0	0
283171	1	1	30	0	1	0	0	0	3	0	0	0
105369575	2	0	289	0	1	0	0	1	7	0	0	0
105369576	0	0	1	0	0	0	0	0	1	0	0	0
100507431	2	0	2	2	1	8	0	0	3	1	13	0
103611081	24	74	15	10	33	75	13	22	32	23	1	7
399979	648	879	356	477	917	1198	273	523	898	457	69	149
105369577	0	0	0	0	0	0	0	0	0	0	0	0
107984411	2	0	0	0	0	0	0	0	0	0	0	0
105369579	1	0	0	0	0	0	0	0	0	0	0	0
105369578	0	0	0	0	0	0	0	0	0	0	0	0
107984412	3	0	0	1	0	0	0	0	0	0	0	0
50863	102	48	172	132	1079	351	37	41	51	28	13	20
101929653	1	0	0	2	0	0	0	0	1	0	0	0
101929637	0	0	0	0	0	0	0	0	0	0	0	0
107984413	2	2	7	5	31	5	1	0	2	0	1	0
100874281	0	0	0	0	0	0	0	0	0	0	0	0
4978	0	2	7	2	38	4	25	11	1	1	0	0
105369580	0	0	0	0	0	0	0	0	0	0	0	0
646522	0	0	1	0	0	0	0	0	0	0	0	0
219938	0	0	0	0	0	0	0	0	0	0	0	0
283174	67	39	123	135	20	1668	45	200	302	82	7	6
100616119	2	1	6	4	0	69	5	10	23	5	0	0
22997	21	5	44	61	8	150	70	117	152	33	24	7
107984414	0	0	0	0	0	0	0	0	0	0	0	0
100128239	14	12	3	12	2	188	3	23	3	2	1	0
83700	88	94	54	86	327	2189	54	87	141	42	14	13
107984040	0	0	1	1	0	0	0	0	1	0	0	0
23310	594	873	376	371	1143	1780	371	489	1702	752	25	72
109623486	19	19	14	11	46	268	11	15	30	9	1	3
112936	1175	1682	665	742	1751	1808	574	1116	2132	1253	695	370
29087	1058	974	299	513	891	1465	538	695	1456	637	112	114
27034	369	472	273	202	1098	828	267	377	1135	665	15	104
112937	1	0	0	1	0	45	0	1	1	3	0	2
89944	1490	1020	2846	3142	5454	1213	1821	2685	4864	4311	1118	1122
27087	32	7	121	101	139	59	49	70	64	132	32	12
283177	95	376	126	185	382	1	227	272	137	463	12	137
105369583	0	0	3	0	0	0	0	1	0	13	2	2
105369584	0	0	0	0	0	0	0	0	0	0	0	0
729305	0	0	0	0	0	1	0	0	0	0	0	0
105369586	0	0	0	0	0	0	0	0	0	0	0	0
100507548	0	0	0	0	1	0	0	0	0	0	0	0
105369588	0	1	0	0	1	0	0	1	1	1	0	0
105369587	0	0	0	0	0	0	0	0	0	1	0	0
105369589	0	0	0	0	0	0	0	0	0	0	0	0
107987373	2365	1917	689	2398	1294	478	1601	1721	8161	3207	1615	1923
107987374	12	5	1	6	131	43	8	4	7	12	0	2
107987375	9	2	1	48	190	21	5	3	31	4	1	1
112267876	959	37	40	40	10954	111	819	69	4943	15	70	10
102724852	1752	169	101	53	35332	332	1176	176	18927	31	91	15
100288778	1749	1054	1667	1718	4027	1557	4950	3430	2794	2123	4464	2578
107987170	2	1	2	1	4	0	4	0	2	0	0	0
677784	0	0	0	0	1	1	0	0	1	0	0	0
440073	11	12	35	7	249	60	3	7	46	4	15	22
105369593	0	3	5	0	2	1	0	0	14	0	0	0
574538	0	0	1	1	4	2	1	0	13	1	0	0
105369592	4	14	6	8	36	8	2	21	76	13	25	11
6539	43	4	11	29	56	3	11	5	134	10	0	5
101929384	0	0	0	0	0	0	0	0	2	0	0	0
6540	19	2	8	4	4	6	15	3	26	4	5	3
102723544	0	0	0	0	0	0	0	1	0	0	0	0
5927	279	333	181	465	687	299	196	197	273	122	362	134
84318	83	150	99	101	193	63	68	131	294	91	35	39
105369594	0	0	0	0	0	0	0	1	2	0	2	0
283358	2571	1433	2852	11982	8797	66	2527	2837	1765	3644	2708	2217
4815	70	89	96	143	898	78	30	247	734	207	19	51
105369595	4	0	2	1	2	0	1	0	4	0	0	1
100049716	96	108	120	154	861	169	103	134	188	165	20	38
105369597	0	0	1	1	1	0	0	0	0	0	0	0
101929432	0	0	0	0	1	9	0	0	0	0	0	0
65125	313	475	305	337	1840	906	168	284	902	320	44	46
5893	194	210	175	222	596	304	198	118	353	165	53	39
23085	323	497	285	380	1200	1319	202	405	715	487	60	96
107987182	1	4	0	1	0	1	1	0	2	0	0	1
100292680	12	75	26	34	164	1	10	61	1	5	47	1
107984507	1	12	0	1	2	2	0	1	1	0	0	3
81029	150	1008	117	107	439	855	32	383	77	87	156	189
144699	81	240	63	39	321	241	41	64	189	77	26	8
100500816	1	4	2	3	2	0	2	0	0	0	0	0
79602	2014	1982	896	1859	2933	1018	632	995	2038	1260	270	218
93589	63	91	84	69	1036	64	47	64	82	35	85	19
105369602	2	3	0	4	6	0	0	6	4	0	1	1
105369601	2	4	0	0	9	2	0	0	1	1	0	0
654429	0	4	0	2	3	1	0	1	6	0	0	1
112268103	0	1	1	1	1	4	0	0	0	0	2	3
100271702	1	2	1	6	3	16	1	7	2	1	3	2
196513	216	228	279	210	819	929	212	415	477	330	76	79
775	340	103	228	828	1587	3630	68	188	730	1014	54	114
107984540	0	0	1	1	0	0	0	0	0	0	0	0
100874369	0	0	0	0	0	1	0	0	0	0	0	0
107984131	1	2	0	0	10	10	0	0	9	1	0	0
100874234	0	0	0	1	0	0	0	1	0	0	0	0
100874370	0	0	0	1	0	0	0	0	1	0	0	0
100874235	15	6	14	29	94	64	4	46	101	20	16	3
100652846	38	13	43	99	230	296	14	34	165	200	21	12
107984539	7	7	4	8	91	13	0	0	2	9	0	0
283440	14	31	20	19	84	35	16	15	51	20	7	4
2288	6728	2502	4611	15506	8205	2532	6767	5936	18531	8051	8381	1895
55846	742	862	846	1192	3058	822	947	988	2183	1057	321	292
83714	79	142	80	103	278	322	130	127	161	106	50	37
101929469	2	6	18	7	25	21	3	0	23	3	1	9
2305	1353	1251	1225	3884	4848	84	1696	1838	5668	2378	2414	858
83695	276	360	207	354	1210	316	339	225	694	364	45	66
7289	413	276	245	678	1606	533	369	383	533	498	41	114
7004	735	829	761	1598	2081	144	844	2207	2993	1171	851	471
10867	502	528	217	419	2200	1844	278	451	1236	368	250	271
105369606	4	10	3	8	85	3	2	7	22	4	2	0
100128253	1	1	0	1	27	1	0	0	4	1	1	0
101930162	0	0	0	0	2	0	0	0	0	0	0	0
56341	0	0	0	1	9	3	0	1	1	0	0	0
105369607	0	0	0	0	1	0	0	1	1	0	0	0
100129223	0	0	0	0	3	0	0	0	1	0	0	0
84766	80	97	65	90	246	5	36	81	381	211	48	25
107984495	0	0	3	0	0	0	0	6	21	4	5	5
57097	5	10	13	10	37	33	6	12	20	10	14	4
105369609	0	1	0	0	4	0	0	0	1	1	0	0
105369608	1	1	0	0	1	0	0	0	0	0	0	0
105369611	2	0	1	0	2	0	0	0	0	0	3	0
105369612	0	0	0	0	0	0	0	0	0	0	0	0
103752584	30	81	33	52	142	96	30	51	121	46	12	40
894	406	1455	1139	970	2857	2411	636	714	2480	1084	682	1169
57103	45	86	94	71	172	70	31	116	122	166	273	46
8074	6	0	0	2	7	0	2	1	1	0	1	2
2251	4	0	0	5	1	0	0	0	1	0	1	0
57102	18	38	47	14	53	65	13	43	127	41	31	13
10635	18	42	24	14	90	2	10	14	95	33	0	3
8798	685	746	601	1016	632	1057	716	799	1129	1971	407	376
10566	3	5	8	2	9	44	6	1	9	17	9	3
4704	2248	2749	1140	3992	4042	1217	2047	3206	7547	3837	2681	1613
101929549	80	148	45	192	72	5	32	87	24	326	28	35
26290	12	20	9	31	15	8	5	39	7	578	12	28
105369614	2	3	1	3	2	4	0	3	0	48	6	10
3742	52	37	10	43	9	58	5	133	3	1162	259	274
3736	0	1	0	0	0	11	0	0	0	0	0	0
100507560	0	1	0	2	0	36	0	0	0	0	0	0
3741	1	13	0	0	3	80	0	1	0	0	1	0
105369617	0	5	0	8	61	0	0	0	0	0	1	0
105369616	0	0	0	0	0	0	0	0	0	0	0	0
101929584	0	0	0	0	2	0	0	0	0	0	0	0
105369618	0	1	0	12	48	0	1	0	0	0	0	0
4908	8	15	0	4	10	28	3	12	4	11	0	2
57101	6	14	2	1	28	29	0	13	16	9	2	4
